studentid,subsidy
2,0
3,0
16,0
17,0
32,0
33,0
34,2000
35,2000
38,0
39,0
46,2000
47,1000
48,2000
49,0
60,2000
61,2000
72,2000
73,0
90,2000
91,0
96,2000
97,1000
100,0
101,2000
102,0
103,0
104,0
105,2000
108,0
109,2000
110,0
111,0
114,2000
115,2000
116,2000
117,2000
120,2000
121,0
136,2000
137,2000
140,2000
141,2000
146,2000
147,2000
148,2000
149,2000
166,2000
167,2000
182,0
183,0
190,0
191,2000
200,0
201,2000
202,2000
203,2000
204,2000
205,2000
214,2000
215,0
218,2000
219,0
228,0
229,0
234,2000
235,0
250,0
251,0
260,0
261,0
268,2000
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,2000
286,2000
287,0
290,0
291,2000
298,2000
299,2000
304,2000
305,2000
308,2000
309,2000
310,2000
311,2000
312,0
313,0
318,0
319,0
320,1000
321,0
324,1500
325,2000
328,2000
329,0
334,2000
335,0
344,2000
345,0
348,2000
349,2000
358,0
359,2000
362,2000
363,2000
376,2000
377,2000
384,0
385,0
386,0
387,0
388,2000
389,2000
390,1000
391,2000
394,2000
395,2000
396,2000
397,1000
404,2000
405,2000
416,2000
417,0
418,2000
419,2000
420,2000
421,2000
424,2000
425,2000
432,0
433,0
442,2000
443,2000
444,2000
445,0
446,2000
447,0
452,2000
453,2000
454,2000
455,2000
460,2000
461,0
462,0
463,0
466,0
467,2000
468,2000
469,2000
474,2000
475,2000
478,2000
479,2000
484,2000
485,2000
486,0
487,2000
488,0
489,0
498,0
499,1000
500,2000
501,2000
502,2000
503,0
512,2000
513,2000
526,2000
527,2000
544,0
545,0
550,2000
551,2000
558,0
559,0
562,0
563,0
570,2000
571,2000
574,2000
575,0
578,0
579,0
582,2000
583,2000
586,2000
587,2000
588,2000
589,0
592,2000
593,0
594,2000
595,0
598,2000
599,0
604,2000
605,2000
608,0
609,0
610,2000
611,0
614,0
615,0
618,0
619,2000
620,0
621,2000
630,1500
631,2000
640,2000
641,2000
642,0
643,0
646,1500
647,2000
654,2000
655,2000
664,1000
665,1000
668,2000
669,2000
678,0
679,0
682,2000
683,0
684,2000
685,0
686,2000
687,0
692,2000
693,2000
710,2000
711,2000
728,2000
729,2000
730,2000
731,2000
734,2000
735,2000
736,0
737,0
738,0
739,0
740,2000
741,2000
748,2000
749,2000
750,2000
751,2000
758,0
759,0
766,2000
767,2000
776,2000
777,2000
788,2000
789,2000
790,2000
791,2000
798,1000
799,2000
804,0
805,2000
808,2000
809,2000
810,2000
811,1000
830,2000
831,1000
832,2000
833,2000
834,1000
835,2000
842,1500
843,2000
846,2000
847,2000
848,2000
849,2000
850,2000
851,2000
852,2000
853,2000
854,2000
855,2000
858,2000
859,2000
860,2000
861,2000
864,2000
865,2000
868,2000
869,2000
902,2000
903,1500
914,0
915,2000
922,2000
923,2000
924,0
925,2000
934,2000
935,2000
938,2000
939,2000
942,2000
943,2000
944,2000
945,2000
950,2000
951,2000
952,2000
953,1000
954,2000
955,2000
956,1000
957,1000
960,2000
961,2000
974,1000
975,2000
978,2000
979,2000
980,1500
981,2000
982,2000
983,2000
984,2000
985,2000
992,2000
993,2000
994,2000
995,2000
1000,2000
1001,0
1008,2000
1009,2000
1022,0
1023,0
1026,0
1027,0
1038,2000
1039,2000
1044,0
1045,2000
1046,2000
1047,0
1048,0
1049,2000
1052,2000
1053,2000
1058,2000
1059,2000
1060,1500
1061,2000
1062,2000
1063,2000
1064,0
1065,0
1066,2000
1067,0
1068,2000
1069,0
1074,0
1075,0
1078,0
1079,2000
1080,2000
1081,2000
1088,0
1089,0
1092,0
1093,0
1096,0
1097,0
1120,0
1121,0
1128,2000
1129,2000
1130,2000
1131,2000
1134,2000
1135,2000
1140,0
1141,0
1144,0
1145,0
1150,2000
1151,0
1152,2000
1153,0
1156,2000
1157,1500
1166,0
1167,0
1168,2000
1169,0
1176,0
1177,0
1198,0
1199,2000
1204,0
1205,0
1206,0
1207,0
1208,0
1209,0
1210,0
1211,0
1212,2000
1213,2000
1214,0
1215,2000
1216,2000
1217,2000
1220,2000
1221,2000
1224,2000
1225,2000
1232,2000
1233,2000
1240,2000
1241,2000
1246,2000
1247,0
1252,0
1253,0
1256,1500
1257,2000
1268,2000
1269,2000
1270,0
1271,0
1272,2000
1273,2000
1282,0
1283,0
1284,2000
1285,2000
1288,1500
1289,2000
1290,2000
1291,0
1304,1500
1305,2000
1306,2000
1307,2000
1318,0
1319,0
1320,0
1321,2000
1324,2000
1325,2000
1326,2000
1327,0
1350,0
1351,0
1352,2000
1353,2000
1354,1000
1355,1500
1358,2000
1359,2000
1364,0
1365,0
1372,2000
1373,2000
1392,2000
1393,0
1396,2000
1397,2000
1414,2000
1415,2000
1434,0
1435,0
1440,2000
1441,2000
1448,2000
1449,2000
1452,2000
1453,0
1460,2000
1461,0
1464,0
1465,2000
1476,2000
1477,2000
1478,0
1479,0
1480,0
1481,2000
1486,2000
1487,2000
1488,2000
1489,2000
1494,0
1495,2000
1504,2000
1505,2000
1518,2000
1519,2000
1520,2000
1521,0
1524,2000
1525,2000
1532,2000
1533,2000
1534,2000
1535,2000
1548,2000
1549,2000
1552,0
1553,0
1554,0
1555,0
1564,2000
1565,2000
1568,2000
1569,2000
1570,0
1571,2000
1576,2000
1577,2000
1580,0
1581,0
1592,0
1593,0
1628,2000
1629,2000
1634,2000
1635,2000
1640,2000
1641,2000
1660,2000
1661,2000
1662,2000
1663,2000
1664,0
1665,0
1666,2000
1667,2000
1674,2000
1675,2000
1682,2000
1683,2000
1686,2000
1687,2000
1696,2000
1697,0
1714,2000
1715,2000
1720,2000
1721,2000
1724,2000
1725,2000
1732,2000
1733,2000
1734,2000
1735,2000
1742,2000
1743,2000
1744,2000
1745,2000
1748,2000
1749,2000
1754,2000
1755,0
1756,2000
1757,1500
1758,0
1759,0
1760,2000
1761,2000
1780,2000
1781,0
1788,2000
1789,2000
1790,2000
1791,2000
1792,2000
1793,2000
1796,2000
1797,2000
1798,2000
1799,0
1800,2000
1801,2000
1804,2000
1805,2000
1822,0
1823,0
1824,0
1825,0
1828,0
1829,2000
1836,0
1837,2000
1844,0
1845,2000
1856,0
1857,2000
1862,2000
1863,2000
1866,0
1867,2000
1868,2000
1869,0
1876,0
1877,2000
1878,0
1879,0
1880,2000
1881,2000
1886,2000
1887,0
1890,2000
1891,2000
1892,2000
1893,0
1900,2000
1901,0
1904,2000
1905,2000
1910,2000
1911,0
1914,1500
1915,2000
1926,2000
1927,0
1928,2000
1929,0
1938,1500
1939,0
1942,2000
1943,2000
1944,0
1945,0
1946,0
1947,0
1948,2000
1949,0
1954,2000
1955,0
1964,0
1965,0
1966,0
1967,0
1972,2000
1973,2000
1974,2000
1975,2000
1994,2000
1995,2000
1996,2000
1997,2000
1998,2000
1999,2000
2004,2000
2005,2000
2006,2000
2007,2000
2018,2000
2019,2000
2030,2000
2031,2000
2032,2000
2033,2000
2034,2000
2035,2000
2048,2000
2049,2000
2052,2000
2053,2000
2056,2000
2057,2000
2070,0
2071,0
2076,2000
2077,0
2094,2000
2095,1500
2096,2000
2097,2000
2126,0
2127,0
2128,2000
2129,2000
2130,2000
2131,2000
2138,1500
2139,2000
2156,2000
2157,2000
2164,2000
2165,2000
2168,0
2169,0
2178,1500
2179,0
2180,2000
2181,2000
2196,0
2197,0
2206,2000
2207,2000
2214,0
2215,0
2224,2000
2225,0
2228,2000
2229,0
2230,2000
2231,2000
2236,2000
2237,2000
2246,2000
2247,2000
2248,2000
2249,2000
2264,0
2265,0
2266,2000
2267,2000
2272,0
2273,0
2298,2000
2299,2000
2310,2000
2311,0
2314,2000
2315,2000
2318,0
2319,0
2348,2000
2349,0
2354,0
2355,2000
2358,1500
2359,2000
2362,2000
2363,2000
2366,2000
2367,2000
2368,2000
2369,2000
2372,2000
2373,0
2374,2000
2375,2000
2380,2000
2381,2000
2382,2000
2383,2000
2384,2000
2385,1000
2390,2000
2391,2000
2402,0
2403,0
2408,2000
2409,0
2410,2000
2411,0
2424,2000
2425,2000
2432,2000
2433,2000
2438,0
2439,0
2442,2000
2443,2000
2444,2000
2445,2000
2448,2000
2449,2000
2454,2000
2455,0
2456,2000
2457,2000
2460,2000
2461,2000
2462,0
2463,2000
2464,2000
2465,2000
2466,2000
2467,2000
2478,1500
2479,2000
2482,1500
2483,2000
2486,2000
2487,2000
2490,0
2491,2000
2492,0
2493,0
2494,2000
2495,1000
2498,0
2499,0
2500,2000
2501,2000
2508,2000
2509,2000
2510,2000
2511,2000
2516,1000
2517,2000
2532,2000
2533,2000
2540,0
2541,0
2550,2000
2551,2000
2556,2000
2557,2000
2562,2000
2563,2000
2570,2000
2571,2000
2572,1000
2573,2000
2576,2000
2577,0
2580,2000
2581,1000
2582,2000
2583,0
2584,2000
2585,1000
2598,2000
2599,0
2606,2000
2607,2000
2612,2000
2613,0
2622,2000
2623,2000
2626,1000
2627,0
2628,2000
2629,2000
2632,2000
2633,0
2636,1000
2637,2000
2644,1000
2645,1000
2648,2000
2649,2000
2654,0
2655,0
2656,0
2657,0
2658,1000
2659,0
2662,0
2663,1500
2672,2000
2673,2000
2674,0
2675,0
2678,2000
2679,2000
2680,2000
2681,1500
2682,1000
2683,1000
2690,0
2691,0
2696,2000
2697,2000
2700,2000
2701,2000
2706,2000
2707,2000
2708,0
2709,2000
2712,1000
2713,2000
2720,2000
2721,0
2722,2000
2723,2000
2730,2000
2731,2000
2732,2000
2733,2000
2738,2000
2739,2000
2748,1000
2749,2000
2764,2000
2765,2000
2766,2000
2767,2000
2776,2000
2777,2000
2782,2000
2783,2000
2788,2000
2789,2000
2802,2000
2803,0
2810,0
2811,2000
2818,2000
2819,0
2826,0
2827,2000
2838,0
2839,2000
2856,2000
2857,2000
2858,2000
2859,2000
2864,2000
2865,2000
2872,0
2873,0
2878,0
2879,2000
2894,1500
2895,1500
2904,2000
2905,2000
2906,2000
2907,2000
2914,2000
2915,2000
2920,2000
2921,2000
2926,2000
2927,0
2930,1500
2931,2000
2938,0
2939,2000
2944,2000
2945,2000
2948,2000
2949,2000
2952,2000
2953,2000
2954,2000
2955,2000
2956,2000
2957,2000
2958,2000
2959,2000
2962,1000
2963,1000
2970,2000
2971,2000
2972,2000
2973,2000
2974,2000
2975,2000
2976,2000
2977,2000
2982,2000
2983,2000
2984,2000
2985,2000
2990,2000
2991,2000
2992,2000
2993,2000
2996,2000
2997,1000
3012,2000
3013,0
3014,2000
3015,2000
3018,2000
3019,2000
3034,2000
3035,0
3048,0
3049,0
3062,0
3063,0
3076,2000
3077,1500
3080,2000
3081,2000
3086,2000
3087,2000
3094,2000
3095,2000
3096,2000
3097,1500
3114,2000
3115,2000
3120,2000
3121,0
3122,2000
3123,2000
3124,2000
3125,2000
3126,2000
3127,2000
3144,2000
3145,2000
3148,2000
3149,2000
3160,2000
3161,2000
3162,2000
3163,2000
3164,2000
3165,2000
3180,2000
3181,2000
3188,0
3189,2000
3196,2000
3197,2000
3198,1000
3199,2000
3206,2000
3207,2000
3220,2000
3221,1500
3224,2000
3225,2000
3226,2000
3227,2000
3228,2000
3229,2000
3232,2000
3233,2000
3238,2000
3239,2000
3240,2000
3241,1000
3244,1000
3245,2000
3246,2000
3247,2000
3250,2000
3251,2000
3254,2000
3255,0
3256,0
3257,0
3260,2000
3261,2000
3264,2000
3265,2000
3270,2000
3271,2000
3274,2000
3275,2000
3284,1500
3285,2000
3286,1500
3287,2000
3292,2000
3293,2000
3298,2000
3299,2000
3300,2000
3301,2000
3302,2000
3303,2000
3304,2000
3305,2000
3312,2000
3313,2000
3316,2000
3317,2000
3318,2000
3319,2000
3322,0
3323,2000
3326,2000
3327,2000
3328,2000
3329,2000
3340,2000
3341,1000
3344,1500
3345,2000
3348,2000
3349,2000
3352,2000
3353,2000
3358,2000
3359,2000
3362,1500
3363,1000
3364,0
3365,2000
3372,2000
3373,2000
3376,1500
3377,2000
3378,0
3379,2000
3380,2000
3381,2000
3382,2000
3383,2000
3384,2000
3385,2000
3388,2000
3389,2000
3390,0
3391,2000
3394,2000
3395,2000
3402,2000
3403,2000
3404,1000
3405,1000
3406,1000
3407,2000
3412,2000
3413,2000
3418,2000
3419,2000
3420,2000
3421,2000
3426,2000
3427,1000
3430,1000
3431,2000
3436,1500
3437,2000
3448,0
3449,2000
3450,2000
3451,2000
3456,0
3457,0
3458,2000
3459,2000
3460,2000
3461,2000
3462,2000
3463,2000
3488,2000
3489,2000
3490,2000
3491,2000
3500,2000
3501,2000
3510,2000
3511,1000
3516,2000
3517,2000
3518,0
3519,2000
3520,2000
3521,2000
3530,2000
3531,2000
3532,2000
3533,2000
3534,2000
3535,2000
3538,2000
3539,2000
3540,2000
3541,1500
3546,2000
3547,2000
3556,2000
3557,2000
3568,1500
3569,2000
3576,1000
3577,2000
3578,2000
3579,1000
3580,0
3581,0
3588,2000
3589,2000
3590,2000
3591,1500
3596,2000
3597,2000
3598,2000
3599,2000
3602,2000
3603,1000
3604,1000
3605,1000
3614,1000
3615,2000
3624,2000
3625,2000
3628,2000
3629,2000
3632,2000
3633,2000
3640,2000
3641,2000
3642,2000
3643,1000
3644,0
3645,0
3652,2000
3653,2000
3656,2000
3657,2000
3658,2000
3659,2000
3666,2000
3667,2000
3668,2000
3669,2000
3682,1000
3683,0
3686,2000
3687,0
3692,1000
3693,2000
3696,2000
3697,2000
3700,1500
3701,2000
3702,0
3703,2000
3704,2000
3705,2000
3706,0
3707,2000
3708,0
3709,2000
3710,2000
3711,2000
3712,2000
3713,2000
3726,2000
3727,1000
3738,2000
3739,1500
3750,2000
3751,2000
3754,2000
3755,2000
3766,0
3767,1000
3772,0
3773,0
3774,0
3775,0
3776,2000
3777,2000
3778,2000
3779,1000
3786,1000
3787,1500
3808,2000
3809,2000
3816,2000
3817,2000
3818,0
3819,0
3822,0
3823,0
3824,2000
3825,1000
3826,0
3827,2000
3832,2000
3833,2000
3846,2000
3847,0
3850,2000
3851,2000
3852,2000
3853,2000
3860,2000
3861,2000
3862,2000
3863,2000
3872,2000
3873,1000
3874,0
3875,2000
3876,2000
3877,2000
3882,2000
3883,2000
3892,2000
3893,1000
3896,2000
3897,2000
3902,2000
3903,2000
3914,2000
3915,2000
3918,2000
3919,2000
3922,2000
3923,2000
3946,2000
3947,1500
3954,2000
3955,1500
3958,2000
3959,2000
3962,1000
3963,0
3964,1000
3965,2000
3968,2000
3969,2000
3980,0
3981,2000
3986,2000
3987,2000
3988,2000
3989,0
3990,0
3991,0
3998,2000
3999,2000
4014,0
4015,1500
4022,2000
4023,2000
4030,2000
4031,2000
4032,2000
4033,2000
4040,0
4041,0
4052,2000
4053,2000
4068,2000
4069,2000
4070,2000
4071,2000
4072,2000
4073,1500
4074,2000
4075,0
4084,2000
4085,2000
4092,2000
4093,2000
4106,0
4107,2000
4116,2000
4117,2000
4122,2000
4123,2000
4132,2000
4133,2000
4136,0
4137,2000
4140,2000
4141,1500
4142,2000
4143,1500
4160,0
4161,0
4164,2000
4165,2000
4176,0
4177,2000
4182,2000
4183,2000
4186,2000
4187,2000
4188,2000
4189,2000
4190,1000
4191,2000
4194,2000
4195,2000
4198,1000
4199,2000
4202,2000
4203,2000
4230,2000
4231,2000
4238,1000
4239,2000
4242,2000
4243,2000
4244,2000
4245,2000
4246,2000
4247,2000
4248,2000
4249,1500
4250,2000
4251,2000
4254,2000
4255,1500
4258,2000
4259,2000
4264,0
4265,2000
4268,0
4269,2000
4274,2000
4275,1500
4282,1500
4283,2000
4298,2000
4299,2000
4306,2000
4307,2000
4308,2000
4309,2000
4320,2000
4321,2000
4322,0
4323,2000
4324,2000
4325,2000
4336,2000
4337,2000
4344,2000
4345,2000
4350,2000
4351,2000
4354,2000
4355,2000
4356,2000
4357,2000
4364,0
4365,2000
4380,2000
4381,2000
4386,2000
4387,2000
4390,2000
4391,2000
4396,2000
